YEAR (start),Date Duration,OperationName,Unit(s) – Description,Location,VC–NVAKIA's,Allied KIA's
1966,Jun 16,Operation Longstreet[1],ROK 2nd Marine Brigadeengineering security operation,Bình ĐịnhandPhú Yên Provinces,,
1966,Jun 17 – 21,Operation Helemano[1],"4th Battalion,9th Infantry Regimentsearch and destroy operation",Hậu Nghĩa Province,,
1966,Jun 17 – 23,Operation Dodge[43],"2nd Battalion, 4th Marinessearch and destroy operation",Quảng Trị Province,,
1966,Jun 18 – 30,Operation Deckhouse I[1][44],"BLT3rd Battalion, 5th Marinesoperation in support of the1st Cavalry Division'sOperation Nathan Hale",Phú Yên Province,400,
1966,Jun 19 – Jul 1,Operation Nathan Hale[2],"1st Cavalry Divisionand 1st Brigade,101st Airborne Divisionoperation","vicinity ofDong TreandTuy Hòa,Phú Yên Province",459,62
1966,Jun 21 – 24,Operation Lam Son 283[2],ARVN operation,Quảng Trị Province,331,37
1966,Jun 23 – Jul 9,Operation Yorktown[1],173rd Airborne Brigadesearch and destroy operation,Xuân Lộc Province,,
1966,Jun 24 – Jul 15,Operation Beauregard[1],"1st Brigade,101st Airborne Divisionsecurity operation of the Cambodian and Laotian borders",Kon TumandPleiku Provinces,,
1966,Jun 25 – Jul 1,Operation Coco Palms[1][45],"1st Battalion,5th Infantry Regimentsearch and destroy operation",northwest ofCu ChiinBình Dương Province,25,
1966,Jun 25 – Jul 2,Operation Jay/Operation Lam Son 284[2][46],"2nd Battalion, 1st Marines,2nd Battalion, 4th Marinesand ARVN operation to engage the NVA 806th and 812th Battalions, 6th NVA Regiment that had recently moved into theQuảng Điền DistrictbetweenRoute 1and the South China Sea about 20 km north ofHuế",Thừa Thiên Province,54,6
1966,Jun 27 – Dec 1 68,Operation Boone[47],MACVoperation to develop a cross-border reconnaissance capability for Cambodia using Special Forces troops,Cambodia,,
1966,Jun 29 – Jul 1,Operation Oakland/Operation Lien Ket 46[1],"2nd Battalion, 7th Marines,3rd Battalion, 11th Marines, 2nd Battalion, ARVN 5th RegimentARVN 37th Ranger Battalionsearch and destroy operation",Quảng Ngãi Province,,
1966,Jun 30 – Jul 31,Operation Benning III[1],2/1 Cavalrysecurity operation,Bình Định Province,,
1966,Jul 1 – 6,Operation Holt/Operation Lam Son 286[1],"3rd Battalion, 4th Marinesand ARVN search and destroy operation",Thừa Thiên Province,,
1966,Jul 2 – 30,Operation Henry Clay[1],"1st Cavalry Divisionand 2nd Battalion,327th Airborne Infantry Regimentsearch and destroy operation in the Cambodian border area as a follow-up toOperation Nathan Hale","Bình Định,Phu Bon,Phú Yên,PleikuandDarlac Provinces",,
1966,Jul 2 – 31,Operation Kahana[1],25th Infantry Divisionsearch and destroy operation,Bình TuyandLong Khánh Provinces,,
1966,Jul 4,Operation James Bond[1],2/1 Cavalrycounterintelligence operation,Bình Định Province,,
1966,Jul 4 – 14,Operation Sydney I[1][4],"5th Battalion, Royal Australian Regimentsearch and destroy operation",Phước Tuy Province,,
1966,Jul 4 – Oct 27,Operation Macon[1][48],"1st Battalion, 3rd Marines,2nd Battalion, 3rd Marines,3rd Battalion, 3rd Marines,1st Battalion, 9th Marines,2nd Battalion, 9th Marinesand3rd Battalion, 9th Marinessearch and destroy and security operation for theAn Hoaindustrial complex",Quảng Nam Province,507,24
1966,Jul 5,Operation Cuu Long 32/66[2],ARVN operation,Kien Hoa Province,155,4
1966,Jul 5 – 11,Operation Binh Phu[2],ARVN operation,Bình Định Province,137,15
1966,Jul 6 – 14,Operation Washington[1][49],1st Reconnaissance Battalionreconnaissance operation in theDo Xaregion,Quảng Ngãi Province,13,
1966,Jul 6 – 26,Operation Springfield[1],"1st Battalion,2nd Infantry Regimentsearch and destroy operation",III Corps,,
1966,Jul 7 – Aug 3,Operation Hastings/Operation Deckhouse II[50],"1st Battalion, 3rd Marines,2nd Battalion, 4th Marines,3rd Battalion 4th Marines,3rd Battalion, 5th Marines,3rd Battalion, 9th Marines,3rd Battalion, 12th Marines,1st Battalion, 1st Marinesand2nd Battalion, 1st Marinesand ARVN operation against the NVA324B Division",Cam Loarea near theDMZ,882,183
1966,Jul 8 – 12,Operation Thăng Long 243[2],ARVN operation,Darlac Province,107,17
1966,Jul 8 – 13,Operation Ewa[1],"1st Battalion,27th Infantry Regimentsearch and destroy operation",Hậu Nghĩa Province,,
1966,Jul 9 – 17,Operation Aurora I[1],173rd Airborne Brigadesearch and destroy operation,Long Khánh Province,,
1966,Jul 9 – Aug,Operation Bun Kae 66-9[2],ROK Capital Divisionoperation,Pleiku Province,106,7
1966,Jul 12 – Sep 3,Operation El Paso III[1],"1st Brigade,1st Infantry Divisionsearch and destroy operation",Binh LongandPhước Long Provinces,,
1966,Jul 13 – 15,Operation Fresno (Hậu Nghĩa)[1],"2nd Battalion,27th Infantry Regimentsearch and destroy operation",Hậu Nghĩa Province,,
1966,Jul 13 – 22,Operation Kansas[51],III MAFoperation which involved inserting a series of 13-man reconnaissance teams to observe and bring fire on the NVA and VC,"Que Son Valley,Quang TinandQuảng Nam Provinces",85,9
1966,Jul 14 – 22,Operation Mokuliea[1],"2nd Brigade,25th Infantry Divisionsearch and destroy operation",Bình DươngandHậu Nghĩa Provinces,,
1966,Jul 15 – 23,Operation Sydney II[1][4],"5th Battalion, Royal Australian Regimentsearch and destroy operation",Phước Tuy Province,,
1966,Jul 16,Operation Deckhouse II[1][52],"3rd Battalion, 5th MarinesandHMM-363operation in support ofOperation Hastings",northeast ofDong HainQuảng Trị Province,,
1966,Jul 16 – 18,Operation Brisbane[1],"6th Battalion, Royal Australian Regimentoperation",Phước Tuy Province,,
1966,Jul 17,Operation Lam Son 290[2],ARVN operation,Quảng Trị Province,135,
1966,Jul 17 – 22,Operation Cedar Rapids I[1],"1st Battalion,2nd Infantry Regimentand 1st Battalion,26th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1966,Jul 17 – Aug 1,Operation Hayes[1],3/1 Cavalryreconnaissance and screening mission along the Cambodian border west ofDak ToandDak Pekincluding surveillance of known and suspected infiltration routes,Kon Tum Province,,
1966,Jul 17 – Aug 3,Operation Aurora II[1],173rd Airborne Brigadesearch and destroy operation,Phuong Lam Province,,
1966,Jul 21 – Sep 4,Operation John Paul Jones[1][2],"2nd Brigade,4th Infantry Division, 1st Brigade,101st Airborne DivisionandROK 2nd Marine Brigadeoperation","40 km west ofTuy Hòa,Phú Yên Province",158,12
1966,Jul 20,Operation Tally Ho[1],Air and naval gunfire interdiction of lines of communication,southern panhandle of North Vietnam,,
1966,Jul 22 – 24,Operation Cedar Rapids II[1],"1st and 2nd Battalions,2nd Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1966,Jul 23 – Aug 6,Operation Koko Head[1][53],"2nd Brigade,25th Infantry Divisionsearch and destroy operation",Bình DươngandHậu NghĩaProvinces,6,
1966,Jul 24 – 29,Operation Hobart[4],"6th Battalion, Royal Australian Regimentsearch and destroy operation",,,
1966,Jul 25,Operation Steel Horse VII[1],"6th Battalion, 16th Field Artilleryharassment and interdiction operation",Bình Định Province,,
1966,Jul 26 – 29,Operation Franklin/Operation Lien Ket 50[1],"1st Battalion, 7th Marines,2nd Battalion, 7th MarinesandARVN 2nd Divisionsearch and destroy operation",Quảng Ngãi Province,,
1966,Jul 26 – Aug 1,Operation Springfield II[1],"1st Battalion,2nd Infantry Regimentsearch and destroy operation",III Corps,,
1966,Jul 31 – Sep 2,Operation Benning IV[1],1/1 Cavalrysecurity operation,Bình Định Province,,
1966,Aug – Sep,Operation Blue Jay[54],"II Field Forceoperation to support the deployment of the196th Infantry Brigadeto its base inTây Ninh; the25th Infantry Divisionwas the sponsor, along with direct air force airlift from the port ofVũng Tàuto Tây Ninh, along with road convoys",,,
1966,Jul 31 – Aug 25,Operation Paul Revere II[1],"3rd Brigade25th Infantry Division,2/1 Cavalry,3/1 Cavalry,ROKA,ARVN 23rd DivisionandARVN 3rd Airborne Brigadesearch and clear operation",Pleiku Province,620,68
1966,Aug 1 – 31,Operation Oahu[1],"1st Brigade,25th Infantry Divisionsearch and destroy operation",Tây Ninh Province,,
1966,Aug 2 – 8,Operation Bucks[1],"3rd Battalion, 1st Marinessearch and destroy operation 15 km south ofDa Nang",Quảng Nam Province,,
1966,Aug 2 – 14,Operation Cheyenne (III Corps)[1],"2nd and 3rd Brigades,1st Infantry Divisionroad clearing and security operation alongRoute 13",betweenLai KheandAn Loc,,
1966,Aug 3 – Jan 31 1967,Operation Prairie[1][55],"1st Battalion, 3rd Marines,2nd Battalion, 3rd Marines,3rd Battalion, 3rd Marines,1st Battalion, 4th Marines,2nd Battalion, 4th Marines,3rd Battalion, 4th Marines,2nd Battalion, 5th Marines,2nd Battalion, 7th Marines,3rd Battalion, 7th Marines,2nd Battalion, 9th Marinesand 1st and 3rd Battalions,26th Marinessearch and destroy operation against the324B NVA Divisionin the hills atCon Thien/Gio Linhareas south of theDMZatMutter's Ridge, the Razorback, Hill 400, Hill 484 andThe Rockpile",DMZ,1397,200
1966,Aug 4 – 30,Operation Seamont[1],26th Marinessearch and destroy operation,Phú Quốc Island,,
1966,Aug 6 – 21,Operation Colorado/Operation Lien Ket 52[1][56],"1st Battalion, 5th Marines,2nd Battalion, 5th Marinesand3rd Battalion, 5th Marines, 1st, 3rd and 4th BattalionsRepublic of Vietnam Marine Corpsand ARVN35th and 39th Ranger Battalionssearch and destroy operation to locate and destroy the 2nd NVA Division (AKA 620th NVA Division)","Que Son Valley,Quảng NamandQuảng Tín Provinces",674,22
1966,Aug 7 – 18,Operation Holsworthy[4][57],"5th Battalion, Royal Australian Regimentoperation to reclaim the village ofBinh Ba",Phước Tuy Province,,
1966,Aug 7 – Sep 1,Operation Lahaina[1],"2nd Battalion,27th Infantry Regimentpacification operation",Hậu Nghĩa Province,,
1966,Aug 8 – Sep 1,Operation Aiea[1],"2nd Brigade,25th Infantry Divisionsearch and destroy operation",Hậu Nghĩa Province,,
1966,Aug 10 – 12,Operation Wilcox[1],"1st Battalion, 9th Marinessearch and destroy operation",Quảng Nam Province,,
1966,Aug 9 – Sep 7,Operation Toledo[4],"173rd Airborne Brigade, 2nd Battalion,18th Infantry Regiment, BLT 1st Battalion,26th Marines,1st Australian Task ForceandARVN 33rd and 35th Ranger Battalionsmulti-battalion search and destroy operation in theMay Tao Secret Zone. The deserted headquarters area for the 5th VC Division was located and destroyed along with vast amounts of supplies","Long Khánh,Bình TuyandPhước Tuy Provinces",11,
1966,Aug 10 – Oct 10,Operation Stable[1],1st Logistical Commandmovement of theROK 9th DivisionfromNha TrangtoTuy Hòa,,,
1966,Aug 11 – Apr 1967,Operation Pink Rose[58],"ARPA,US Forest Serviceand USAF operational testing of techniques to dry out and start forest fires",Tây NinhandPhước Long Provinces,,
1966,Aug 12 – 14,Operation El Dorado[1],"1st Brigade,1st Infantry Divisionsearch and destroy operation",Bình Định Province,,
1966,Aug 13 – 21,Operation Suwannee[1],"1st Battalion, 9th Marinesand3rd Battalion, 9th Marinessearch and destroy operation",Quảng Nam Province,,
1966,Aug 15 – 17,Operation Belfast[1],1st Infantry Divisionsearch and destroy operation,Bình Dương Province,,
1966,Aug 15 – 19,Operation Gallup[1],US search and destroy operation,III Corps,,
1966,Aug 16 – 18,Operation Smithfield[4],"6th Battalion, Royal Australian Regimentoperation in response to VC mortar fire developed into a battle against the VC 275th Regiment",Long Tan,245,18
1966,Aug 16 – 29,Operation Deckhouse III[1][59],"SLF 1st Battalion,26th Marinesand the173rd Airborne Brigadejoint operation","Vũng Tàupeninsula,Bình Tuy Province",2,4
1966,Aug 18 – 20,Operation Broome[1],US search and destroy operation,III Corps,,
1966,Aug 18 – 20,Operation Brown[1],"1st Battalion, 1st Marines,2nd Battalion, 1st Marinesand ARVN 51st Regiment search and destroy operation",Quảng Nam Province,,
1966,Aug 18 – 20,Operation Quang Dien[2],ARVN search and clear operation,Thừa Thiên Province,100,21
1966,Aug 19 – 22,Operation Castine[1],"2nd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1966,Aug 20 – 22,Operation Ottawa[1],"3rd Battalion, 4th Marinessearch and destroy operation",Thừa Thiên Province,,
1966,Aug 20 – 29,Operation Allegheny[2],3rd Marinessearch and destroy operation,22 km southwest ofDa NanginQuảng Nam Province,113,7
1966,Aug 23 – Sep 2,Operation Amarillo[2],"1st Brigade,1st Infantry Divisionmine-clearing operation",Phu Loiarea ofBình Dương Province,,
1966,Aug 23 – Sep 23,Operation Pole Star[1],ROK 2nd Marine Brigadeclear and search operation,"Bình Sơn District,Quảng Ngãi Province",,
1966,Aug 23 – Sep 26,Operation Mallard II[1],"Deployment of 2nd Battalion,34th Armored RegimentfromVũng TàutoLong Binh",,,
1966,Aug 25 – 27,Operation Long Phi 984[2],ARVN search and destroy operation,Kiên Giang Province,132,30
1966,Aug 26 – 31,Operation Darlinghurst[4],"5th Battalion, Royal Australian Regimentclearing operation following6 RAR's action atLong Tan",Phước Tuy Province,,
1966,Aug 26 – Sep 6,Operation Pawnee[1],"3rd Battalion, 4th Marinessearch and destroy operation",Thừa Thiên Province,,
1966,Aug 26 – Jan 20 68,Operation Byrd,1st Cavalry Divisioneconomy-of-force operation,Bình Thuận Province,,
1966,Aug 27 – 29,Operation Jackson/Operation Lien Ket 54[1],"3rd Battalion, 5th Marines,3rd Battalion, 7th Marinesand ARVN 4th Regiment search and destroy operation",Quảng Ngãi Province,,
1966,Aug 31 – Sep 12,Operation Kipapa[1][60],"1st Brigade,25th Infantry Divisionoperation","Filhol Plantation,Hậu Nghĩa Province",8,6
1966,Sep 1 – 4,Operation Troy[1][61],"2nd Battalion, 1st Marinessearch and destroy operation",Quảng Nam Province,,
1966,Sep 1 – Oct 11,Operation Sunset Beach[1],"2nd Brigade,25th Infantry Divisionsearch and destroy operation",Hậu Nghĩa Province,,
1966,Sep 2 – 6,Operation Dan Chi 261[2][62],ARVN operation,An XuyenandBạc Liêu Provinces,,21
1966,Sep 2 – 29,Operation Benning V[1],3/1 Cavalrysecurity operation,Bình Định Province,,
1966,Sep 3,Operation Decatur[1],"1st Battalion,26th Infantry Regimentsecurity operation",Quon Loi–An Loc,,
1966,Sep 4 – 6,Operation Cranston[1],"1st Battalion,16th Infantry Regimentsecurity and resupply operation",betweenLai KheandPhu Loi,52,2
1966,Sep 4 – 15,Operation El Paso[1],"1st Battalion, 5th Marines,2nd Battalion, 5th Marinesand 2nd, 3rd and 4th Battalions ARVN 6th Regiment search and destroy operation",Quảng Tín Province,,
1966,Sep 4 – 15,Operation Napa/Operation Lien Ket 56[1],"1st Battalion, 5th Marines,3rd Battalion, 5th Marinesand 2nd, 3rd, 4th Battalions, ARVN 6th Regiment search and destroy operation",Quảng Tín Province,,
1966,Sep 4 – Oct 8,Operation Baton Rouge[1],1st Battalion18th Infantrysearch and destroy operation,Rung Sat Special Zone,,
1966,Sep 4 – Oct 25,Operation Seward[2][63],"1st Brigade,101st Airborne Divisionand 1st Battalion,22nd Infantry Regimentsearch and destroy and security operation",Phú Yên Province,347,27
1966,Sep 5 – 29,Operation Meadowlark[1],Deployment of11th Armored Cavalry RegimentfromVũng TàutoLong Binh,,,
1966,Sep 6 – 9,Operation Manh Ho[2],ARVN operation,Bình Định Province,147,
1966,Sep 6 – 12,Operation Bangor[1],"2nd Battalion,26th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1966,Sep 7 – 12,Operation Cannon[1],"2nd Battalion, 1st Marinesand3rd Battalion, 9th Marinessearch and destroy operation",Quảng Nam Province,,
1966,Sep 8,Operation Seaside[1],"3rd Battalion, 1st Marinessearch and destroy operation",Quảng Nam Province,,
1966,Sep 8 – 9,Operation Wilton[1],US search and destroy operation,III Corps,,
1966,Sep 8 – 14,Operation Pawnee II[1],"3rd Battalion, 4th Marinessearch and destroy operation",Thừa Thiên Province,,
1966,Sep 8 – 16,Operation Fresno (Quảng Ngãi)[1],"1st Battalion, 7th Marinessearch and destroy operation",Quảng Ngãi Province,,
1966,Sep 8 – 24,Operation Vaucluse[1][4],"5th Battalion, Royal Australian Regimentand6th Battalion, Royal Australian Regimentsearch and destroy operation",Phước Tuy Province,,
1966,Sep 13 – 22,Operation Atlantic City[1],"3rd Brigade,1st Infantry Division,25th Infantry Divisionand173rd Airborne Brigadesearch and destroy operation",Bình Dương Province,,
1966,Sep 13 – Oct 2,Operation Oliver Wendell Holmes[1],"1/1/ Cavalry,2/1 CavalryandARVN 3rd Airborne Brigadesearch and destroy operation",,,
1966,Sep 13 – Oct 30,Operation Thayer I[2],"1st Cavalry Division,ARVN 3rd Airborne Battalionand ARVN 41st Regiment operation",Bình Định Province,232,30
1966,Sep 14 – Nov 25,Operation Attleboro[5],"196th Infantry Brigade,1st Infantry Divisionand4th Infantry Divisionand173rd Airborne Brigadeoperation","War Zone ""C"" ofTây Ninh Province","1,062",115
1966,Sep 14 – Feb 13 1967,Operation Lanikai[1],"1st Brigade,25th Infantry Divisionpacification operation",Long An Province,,
1966,Sep 15 – 21,Operation Danbury[1],"1st Battalion,16th Infantry Regimentand 2nd Battalion,28th Infantry Regimentsearch and destroy operation","10 km west ofLai Khe,III Corps",,
1966,Sep 15 – 24,Operation Deckhouse IV[1][64],"SLF 1st Battalion,26th Marinesand3rd Marine Reconnaissance Battalionoperation as an adjunct toOperation Prairie",12 km northeast ofDong HainI Corps,200,36
1966,Sep 15 – Oct 9,Operation Sioux City[65],173rd Airborne Brigade Combat Teamsearch and destroy operation,"Xom Cat,Biên Hòa Province",,
1966,Sep 15 – Nov 14,Operation Kalihi[1][66],"1st Brigade,25th Infantry Divisionoperation",Filhol PlantationinHậu Nghĩa Province,4,
1966,Sep 16 – 27,Operation Golden Fleece 7-1/Operation Lien Ket 60[1][67],"1st Battalion, 7th Marinesand ARVN 4th Regiment operation to protect rice harvest",Mộ Đức District,,
1966,Sep 16 – Oct 19,Operation Wren[1],Deployment of thePhilippine Civil Action GroupfromCam Ranh BaytoTây Ninh Province,,,
1966,Sep 19 – Oct 4,Operation Kamuela[1][68],"1st Brigade,25th Infantry Divisionsearch and destroy operation","Boi Loi WoodsandBen Cui Plantation,Bình Dương Province",13,5
1966,Sep 20 – 22,Operation Huntsville[1],"3rd Brigade,1st Infantry Divisionand ARVN 48th Regiment search and destroy operation",III Corps,,
1966,Sep 22 – 28,Operation Binh Phu 27[2],ARVN operation,Bình Định Province,,
1966,Sep 23 – Oct 1,Operation Longview[1],"1st Brigade,1st Infantry Divisionroute security and clearing operation onRoute 16",betweenPhuoc VinhandBiên Hòa,,
1966,Sep 23 – Oct 30,Operation Mang Ho VI[2],ROKA Capital Divisionsearch and destroy operation,Bình Định Province,1161,30
1966,Sep 24,Operation Coffee[1],"2nd Battalion, 1st Marinessearch and destroy operation",Quảng Nam Province,,
1966,Sep 25,Operation Boyd[1],"2nd Battalion,28th Infantrysearch and destroy operation",Bình Dương Province,,
1966,Sep 28 – 29,Operation Monterey[1],"1st Battalion, 5th Marinesand2nd Battalion, 5th Marinessearch and destroy operation",Quảng Tín Province,,
1966,Sep 28 – 30,Operation Kathy[1],ARVN 2nd and 8th Airborne Battalionssearch and destroy operation,Capital Military District,,
1966,Sep 29 – Oct 11,Operation Benning VI[1],2/1 Cavalrysecurity operation,Bình Định Province,,
1966,Sep 30 – Oct 3,Operation Crowsnest[4][69],"5th Battalion, Royal Australian Regimentoperation for the assistance for the village ofDuc Thanh",Phước Tuy Province,,
1966,Sep 30 – Oct 2,Operation Monterey II[1],"1st Battalion, 5th Marinesand2nd Battalion, 5th Marinessecurity operation",Quảng Tín Province,,
1966,Oct,Operation Traffic Cop[2],Initial phase ofOperation Sea Dragon,,,
1966,Oct 1,Operation Dazzlem (1966)[1],1st Cavalry Divisionand173rd Airborne Brigadesecurity operation,Bình Định Province,,
1966,Oct 1 – 4,Operation Little Rock[1],"1st Brigade,1st Infantry Divisionand ARVN 48th Regiment search and destroy operation",Phước Long Province,,
1966,Oct 1 – 25,Operation Kern[1],"2nd Battalion, 3rd Marinessearch and destroy operation",Quảng Ngãi Province,,
1966,Oct 2 – 24,Operation Irving/Operation Dai Bang 800/Operation Mang Ho 6[70],"1st Cavalry Division,ROK Capital Divisionand ARVN22nd Divisionoperation against the NVA610th Division",Bình Định Province,681,29
1966,Oct 2 – 27,Operation Bathurst[1][4],"5th Battalion, Royal Australian Regimentand6th Battalion, Royal Australian Regimentsearch and destroy operation",Phước Tuy Province,,
1966,Oct 3 – 10,Operation Decatur II[1],1st Infantry Divisionsecurity operation,III Corps,,
1966,Oct 3 – 10,Operation Lee/Operation Lien Ket 64[1],ROK 2nd Marine Brigadeand ARVN 4th Regiment operation,Quảng Ngãi Province,,
1966,Oct 3 – Nov 20,Operation Lam Son 318[2],ARVN operation,Quảng Trị Province,179,"38 ARVN, 1 US"
1966,Oct 6 – 10,Operation Canberra[4],"5th Battalion, Royal Australian Regimentsearch and destroy operation, reinforced with an APC squadron, to assist in securingRoute 15in the1st Australian Task ForceTAORin support of the receipt and initial positioning of the 3rd Brigade,4th Infantry DivisionatBear Cat",,,
1966,Oct 6 – 15,Operation Hickory (Biên Hòa)[1],"3rd Squadron,11th Armored Cavalry Regimentsearch and destroy operations",Biên Hòa Province,,
1966,Oct 8 – 15,Operation Kent[1],"2nd Battalion, 7th Marinessearch and destroy operation",Quảng Ngãi Province,,
1966,Oct 8 – 16,Operation Tulsa[1],1st Infantry Divisionand5th Divisionroad clearing operation alongRoute 13betweenPhu CuongandAn Lộc,Bình DươngandBình Long Provinces,,
1966,Oct 8 – Dec 4,Operation Winchester[71],"4th Battalion,503rd Airborne Infantry Regimentsearch and destroy operation to relieve the 2nd Battalion,26th Marinesand to occupy and maintain control of an assigned sector of theDa NangTAOR",Da Nang,,
1966,Oct 11 – 16,Operation Robin[1][4],"5th Battalion, Royal Australian Regimentand173rd Airborne Brigadeoperation to receive the 3d Brigade,4th Infantry Divisionat the ports of Saigon andVũng Tàu, and to safeguard the transport to, and initial occupation of, the designated brigade base camp atBen CatinBình Dương Province. A full examination of the area was cut short as 5RAR was required for road security onRoute 15while the196th Infantry Brigademoved from Vũng Tàu toLong Binh",,,
1966,Oct 11 – 20,Operation Teton[1],"3rd Battalion, 1st Marinessearch and destroy operation",Quảng Nam Province,,
1966,Oct 11 – Nov 14,Operation Kailua[1][72],"2nd Brigade,25th Infantry Divisionoperation",Hậu Nghĩa Province,67,5
1966,Oct 11 – Nov 17 1967,Operation Uniontown (1966-67)[1],"173d Airborne Brigade,199th Light Infantry Brigadeand11th Armored Cavalry Regimentsecurity and defence operations",aroundLong Binh,,
1966,Oct 16,Operation Cuu Long 22/KT[2],ARVN operation,Dinh Tuong Province,14,
1966,Oct 16 – 17,Operation Craddock[1],US search and destroy operation,III Corps,,
1966,Oct 16 – Dec 3,Operation Leeds[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",,,
1966,Oct 17 – 26,Operation Queanbeyan[4],"5th Battalion, Royal Australian Regimentsearch and destroy operation inAO Gold, a 14 square km area includingNui Thi Vaiand the region north and west of it",Phước Tuy Province,,
1966,Oct 18 – 20,Operation Dan Chi 263[2],ARVN operation,Chuong Tien Province,138,"29 ARVN, 1 US"
1966,Oct 18 – 30,Operation Dover[1],"1st Battalion, 5th Marinessearch and destroy operation",Quảng Tín Province,,
1966,Oct 18 – Dec 31,Operation Paul Revere IV[73],"2nd Brigade,4th Infantry Division, 2nd and 3rd Brigades,25th Infantry Divisionand2/1 Cavalrysearch and destroy operation along the Cambodian border",westernII Corps,962,136
1966,Oct 18 – Feb 1 1967,Operation Duck[1],9th Infantry Divisionmovement fromVũng TàutoBear Cat,,,
1966,Oct 19 – Dec,Operation Atlanta[2][74],11th Armored Cavalry Regimentmission to clear and secure lines of communication in three provinces near Saigon and to secure the new Blackhorse Base Camp,13 km south ofXuan Loc,131,8
1966,Oct 20 – 24,Operation Bethlehem[1],"2nd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1966,Oct 21 – 23,Operation Madison[1],"3rd Battalion, 1st Marinessearch and destroy operation",Quảng Nam Province,,
1966,Oct 21 – Nov 5,Operation Allentown/Lam Son II South[1],"2nd Brigade,1st Infantry Divisionsearch and destroy operation","Biên Hòa,Bình DươngandGia Định Provinces",,
1966,Oct 25 – Nov 28,Operation Bremerton[1],"3rd Battalion,22nd Infantry Regimentsearch and destroy operation",Rung Sat Special Zone,,
1966,Oct 30 – Dec 4,Operation Geronimo[2],"Company C, 1st Battalion,327th Infantry Regiment, 1st Brigade,101st Airborne Divisionsearch operation",Phú Hiệp,118,15
1966,Oct 24 – Feb 11 1967,Operation Thayer II[2][75],"1st Cavalry Division,25th Infantry DivisionandRepublic of Vietnam Marine Corpsoperation in the coastal plains and theKim SonandSoui Ca Valleys",westernBình Định Province,"1,667",193
1966,Oct 25 – Apr 2 1967,Operation Adams[1],"1st Brigade,4th Infantry Division, 1st Brigade,101st Airborne Divisionand ARVN 47th Regiment operation to protect rice harvest",Phú Yên Province,491,51
1966,Oct 25 – Oct 31 1968,Operation Sea Dragon[76],US Navy andRoyal Australian Navyinterdiction of sea lines of communication and supply from North Vietnam to South Vietnam,,,5
1966,Oct 29 – Dec 24,Operation Pawnee III[1][77],"2nd Battalion,26th Marinessearch and destroy operation",Thừa Thiên Province,,
1966,Oct 30 – 31,Operation Bundaberg[1][4],"5th Battalion, Royal Australian Regimentand6th Battalion, Royal Australian Regimentcordon and search operation",nearHoa LonginPhước Tuy Province,,
1966,Oct 31,Operation Travis[1],2/1 Cavalryemergency deployment to supportOperation Paul Revere IV,,,
1966,Nov – Jan 1970,Operation Stable Door[78],US Navy defence of allied shipping against VC attacks,,,
1966,Nov 5 – 8,Operation Lien Ket 68[2],ARVN search and destroy operation,Quảng Tín Province,109,64
1966,Nov 5 – 19,Operation Shasta[1],"2nd Battalion, 1st Marines,2nd Battalion, 3rd Marinesand 1st Battalion,26th Marinessearch and destroy operation",Quảng Nam Province,,
1966,Nov 6 – 7,Operation Yass[4],"5th Battalion, Royal Australian Regimentcordon and search of Phuoc Hoa village and the clearance ofLong Sơn Island",Phước Tuy Province,,
1966,Nov 8 – 12,Operation Hayman[4][79][80],"3rd SquadronSASand5th Battalion, Royal Australian Regimentoperation as a search and clear mission to round up Vietcong who had infiltrated the fishing village onLong Sơn Island",Long Sơn Island,,
1966,Nov 8 – 14,Operation Arcadia[1],1st Battalion 1st Marinesand3rd Battalion 1st Marinessearch and destroy operation,Quảng Nam Province,,
1966,Nov 9 – 27,Operation Dragon Eye[2],ROK 2nd Marine Brigadesearch and destroy operation,Quảng Ngãi Province,154,"38 ROK, 4 US"
1966,Nov 16 – Jan 12 67,Operation Dan Tam 81[1],11th Armored Cavalry RegimentandARVN 10th Divisionrice harvest security operation,Bình TuyandLong Khánh Provinces,,
1966,Nov 18 – Dec 3,Operation Ingham[4][81],"5th Battalion, Royal Australian Regimentand6th Battalion, Royal Australian Regimentsearch and destroy operation",Xuyên Mộc District,,
1966,Nov 19 – 27,Operation Lien Ket 70[2],ARVN 2nd Divisionsearch and destroy operation,Quảng Ngãi Province,123,3
1966,Nov 18 – May 14 67,Operation Fort Nisqually[1],"3rd Brigade,4th Infantry Divisiondeployment from Bear Cat toDầu Tiếng Districtand search and destroy operations",Bình Dương Province,,
1966,Nov 20 – 27,Operation Rio Blanco/Operation Lien Ket 70[1],"1st Battalion, 7th Marinesand ARVN search and destroy operation",Quảng Ngãi Province,,
1966,Nov 20 – 27,Operation Rio Grande/Operation Lien Ket 81[1],"1st Battalion, 5th Marines,ROK 2nd Marine BrigadeandARVN 2nd Divisionsearch and destroy operation",Quảng Ngãi Province,,
1966,Nov 24 – Dec 2,Operation Waco[1],"1st Battalion,503rd Airborne Infantry Regimentsearch and destroy operation",Biên Hòa Province,,
